business_phone_number,description,career_page,organization_type,geographical_area,company_type,business_website_address,year_founded,headquarters,size_range,address,organization
,    ,http://www.arenapharm.com/career-opportunities-arena-inc,Privately Held,Greater San Diego Area,Therapeutics,http://www.arenapharm.com,,"San Diego, California",201-500,,Arena Pharmaceuticals
 (858) 625-0760,    ,http://www.ardeabio.com/careers/,Public Company,Greater San Diego Area,Therapeutics,http://ardeabio.com,,(Astra Zeneca),51-200,,Ardea Biosciences
858-678-8618 ,    ,,Privately Held,Greater San Diego Area,Research Services,http://accelagen.com,,"San Diego, California", 1-10,,Accelagen
858.452.9925?,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.agscientific.com/,1997,"San Diego, California", 11-50,,"A.G. Scientific, Inc."
(858) 558-2871,    ,http://www.acadia-pharm.com/careers/jobs.htm,Public Company,Greater San Diego Area,Therapeutics,http://acadia-pharm.com,2006,"San Diego, California", 11-50,,Acadia Pharmaceuticals
858 799 5000,    ,http://accelrys.com/about/careers/,Public Company,Greater San Diego Area,Software,http://accelrys.com/,2001,"San Diego, California",501-1000,,Accelrys
858-455-9588,    ,http://www.biolegend.com/careers_frame/,Privately Held,Greater San Diego Area,Research Products,http://www.biolegend.com/,2002,"San Diego, California",51-200,,BioLegend
,    ,http://www.biomatrica.com/aboutus_careers.php,Privately Held,Greater San Diego Area,Research Products,http://biomatrica.com,2004,"San Diego, California", 11-50,,Biomatrica
 858-345-3871 Phone,    ,,Privately Held,Greater San Diego Area,Research Products,http://biosettia.com,,"San Diego, California", 1-10,,Biosettia
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.carolusTherapeutics.com,,"La Jolla, California",,,Carolus Therapeutics
858.452.7271,,https://careers.cato.com/,Privately Held,Greater San Diego Area,"Drug Development,Research Services",http://www.cato.com,1998,"Durham, North Carolina",201-500,,Cato Research
858 764-1941,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.emolecules.com,2004,"San Diego, California", 11-50,,Emolecules
858-705-5968 ,    ,,Privately held,Greater San Diego Area,Research Products,http://www.cassiallc.com,,"San Diego, California", 1-10,,"Cassia, LLC"
800-437-7500,    ,,Public Company,Greater San Diego Area,Research Products,http://www.millipore.com,,"Billerica, MA",10001+,,EMD Millipore
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.eumederis.com,,"San Diego, California", 1-10,,Eumederis
800.758.1630,    ,,Privately Held,Greater San Diego Area,Research Products,http://etonbio.com,2003,"San Diego, California",51-200,,"Eton Bioscience, Inc."
(760) 930-6400,FMT Consultants provides efficient technology solutions to the San Diego Bio Tech community. ,http://www.fmtconsultants.com/about-us/careers/,Privately Held,Greater San Diego Area,Software,http://www.fmtconsultants.com/industry-solutions/life-sciences/,1995,"Carlsbad, CA", 11-50,,FMT Consultants
(858) 750-4465,,http://genalyte.com/careers/,,Greater San Diego Area,"Diagnostics,Research Products",http://genalyte.com/,,"San Diego, California",1-10,,Genalyte
(858) 882-4500,    ,,Privately Held,Greater San Diego Area,Drug Development,http://www.formexllc.com,,"San Diego, California",,,Formex LLC
  760.268.6200,    ,,Public Company,Greater San Diego Area,Diagnostics,http://www.genoptix.com,1999,Owned by Novartis,501-1000,,Genoptix
,    ,,Nonprofit,Greater San Diego Area,Research Services,http://www.gwas.us/,2012,"La Jolla, California", 1-10,,Genome-Wide Associations Inc
858.824.1771,    ,http://www.genomatica.com/about/careers/,Privately Held,Greater San Diego Area,Green technology,http://www.genomatica.com,2000,"San Diego, California", 11-50,,Genomatica
(760) 448-4300,    ,http://search2.smartsearchonline.com/genmarkdx/jobs/process_jobsearch.asp,Public Company,Greater San Diego Area,Medical Devices,http://www.genmarkdx.com/,,"Carlsbad, California",51-200,,Genmark Diagnostics
888-428-0558,    ,,,Greater San Diego Area,"Research Products,Research Services",http://genlantis.com,,"San Diego, California", 11-50,,Genlantis
800.789.5550,    ,,Privately Held,Greater San Diego Area,Research Products,https://www.geneseesci.com,1995,"San Diego, California", 11-50,,Genesee Scientific
(760) 231-2440,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.gene.com,1976,"San Francisco, California","10,001+",,Genentech
18586571400,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.ferring.com,1950,Switzerland,1001-5000,,Ferring Research Institute
,    ,,Privately Held,Greater San Diego Area,Software,http://thomsonreuters.com/site/systems-biology/,2000,"New York, NY",10001+,,GeneGo (Thomson Reuters)
,    ,,,Greater San Diego Area,Medical Products,http://www.femcap.com,,"Del Mar, California",,,Femcap
,    ,,privately Held,Greater San Diego Area,Medical Products,http://www.genection.com,2012,"San Diego, California",,,Genection
(858) 592-9300,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://genbio.com,1994,"San Diego, California", 11-50,,GenBio
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.fateTherapeutics.com,2007,"San Diego, California", 11-50,,Fate Therapeutics Inc.
,    ,http://www.fabrus.net/about/careers.htm,Privately Held,Greater San Diego Area,Therapeutics,http://www.fabrus.net,2007,"La Jolla, California", 1-10,,Fabrus
858-453-5800,    ,,Privately held,Greater San Diego Area,Therapeutics,http://www.eyecyte.com,,"San Diego, California", 1-10,,"EyeCyte, Inc."
(858) 273-6574,    ,,Privately Held,Greater San Diego Area,Research Services,http://explorabiolabs.com/,2004,"San Diego, California", 11-50,,Explora BioLabs
7602982355,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.etaluma.com,2009,"San Diego, California", 1-10,,"Etaluma, Inc."
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://essentialisTherapeutics.com,,"Carlsbad, California",,,Essentialis Therapeutics
,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.exonbio.com,1996,"San Diego, California",,,Exonbio
619-255-5903,    ,http://www.estudysite.com/careers/,Privately Held,Greater San Diego Area,Clinical Services,http://estudysite.com,,"San Diego, California", 11-50,,Estudysite
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.epsilonmicrodevices.com/,2012,"San Diego, California", 1-10,,"Epsilon Micro Devices, Inc."
,    ,,,Greater San Diego Area,Diagnostics,http://www.epitopediagnostics.com,,"San Diego, California",,,Epitope Diagnostics
(858) 657-0918,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.epigenbiosciences.com/,2010,"San Diego, California", 1-10,,"Epigen Biosciences, Inc."
,    ,http://www.enigmadiagnostics.com/template2.php?page=careers.php,Privately Held,Greater San Diego Area,Diagnostics,http://www.enigmadiagnostics.com,2004,UK, 11-50,,Enigma Diagnostics
(760) 727-1280,    ,http://www.djoglobal.com/careers/career-opportunities/us-opportunities,Privately Held,Greater San Diego Area,Medical Devices,http://www.djoglobal.com,1978,"Vista, California",1001-5000,,DJO Global
(858) 384-0291,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.directelectron.com/,2007,"San Diego, California", 1-10,,Direct Electron
,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://epicsciences.com,2008,"San Diego, California", 11-50,,Epic Sciences
858.224.6900,Our San Diego site specializes in KinomeSCAN and BromoSCAN services.  Please see website for details,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.discoverx.com,2000,"Fremont, California",51-200,,DiscoveRx
,    ,http://www.dartneuroscience.com/CurrentOpenings.php,Privately Held,Greater San Diego Area,Therapeutics,http://www.dartneuroscience.com,2008,"San Diego, California",51-200,,Dart Neuroscience
888-738-3646,    ,http://www.dexcom.com/careers,Public Company,Greater San Diego Area,Medical Devices,http://www.dexcom.com,1999,"San Diego, California",201-500,,Dexcom
(858) 876-3133,    ,,Privately Held,Greater San Diego Area,Research Products,http://dmphotonics.com,2005,"San Diego, California", 1-10,,Del Mar Photonics
760-804-3886,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.dcndx.com/,2003,"Carlsbad, California", 11-50,,DCN Diagnostics
858 458 0900,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.cytori.com,,"San Diego, California",51-200,,"Cytori Therapeutics, Inc."
858-695-8035,,,Privately Held,Greater San Diego Area,"Diagnostics,Research Products",http://www.cytoptics.com,2008,"San Diego, California",1-10,,Cytoptics
,    ,http://www.cylenepharma.com/contact/careers,Privately Held,Greater San Diego Area,Therapeutics,http://www.cylenepharma.com,2001,"San Diego, California", 1-10,,Cylene Pharmaceuticals
858-754-8640,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.crisimed.com,2009,"San Diego, California", 11-50,,"CRISI Medical Systems, Inc"
(858) 450-6464,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.crinetics.com/,2008,"San Diego, California", 1-10,,Crinetics
(858) 642-1988,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.cytometryres.com/,1993,"San Diego, California", 1-10,,"Cytometry Research, LLC"
(858) 457-8698,    ,http://ctkbiotech.com/index.php?option=com_content&view=article&id=38&Itemid=27,Privately Held,Greater San Diego Area,Diagnostics,http://ctkbiotech.com,,"San Diego, California",201-500,,CTK Biotech Inc.
(619) 690-7300,    ,,Privately Held,Greater San Diego Area,Research Products,http://conquerscientific.com,2007,"San Diego, California", 11-50,,Conquer Scientific
 858.964.1300,    ,,Nonprofit,Greater San Diego Area,Association,http://connect.org/,1985,"La Jolla, California", 11-50,,Connect
(858) 876-8408,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.concortis.com,,"San Diego, California",,,Concortis
,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.conatuspharma.com,,"San Diego, California",,,Conatus Pharmaceuticals
858-352-2300 ,,,,Greater San Diego Area,"Clinical Services,Drug Development,Research Products",http://www.covance.com,1997,"Princeton, NJ",10001+,,"Covance, Inc."
(858) 677-0474,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://codaTherapeutics.com,,San Diego and New Zealand, 11-50,,Coda Therapeutics
